,Unnamed: 0,ISIN,sector,name,price_per_share,currency
389,0,IE00B6YX5C33,USA,SSGA SPDR ETFs Europe I plc - SPDR S&P 500 UCITS ETF USD Unhedged (Dist),502.96,EUR
390,0,KYG6145U1094,Vehicles,MINTH GROUP LTD,2.1,EUR
391,0,US81617J3014,Energy & Water,"SELECT WATER SOL.A DL-,01",7.28,EUR
392,0,FR001400N2P2,Health Care,"SPINEWAY       EO 4,-",0.1195,EUR
393,0,US89853L3024,Health Care,"T2 BIOSYSTEMS NEW DL-,001",0.089,EUR
394,0,US00206R1023,Telecommunication,AT&T INC.,24.735,EUR
395,0,DE000BASF111,Chemistry,BASF AG O.N.,43.12,EUR
396,0,US09075P1057,Biotechnology,"BIOXCEL THERAPEUT DL-,001",0.156,EUR
397,0,DE000BEAU7Y1,Biotechnology,DOUGLAS AG ST I,10.76,EUR
398,0,NL0012969182,Internet & Software,"ADYEN N.V.         EO-,01",1588.2,EUR
399,0,LU1900066033,Large/Mid/Small Caps,MULTI UNITS LUXEMBOURG - Amundi MSCI Semiconductors UCITS ETF Acc,44.69,EUR
400,0,FR0013380607,Large Caps,MULTI UNITS FRANCE - Amundi CAC 40 UCITS ETF Acc,37.625,EUR
401,0,US7561091049,Real Estate,REALTY INC. CORP.    DL 1,50.31,EUR
402,0,CA65345P1018,Mining,NEXUS URANIUM CORP.,0.075,EUR
403,0,DE000LEG1110,Real Estate,LEG IMMOBILIEN SE NA O.N.,76.55,EUR
404,0,US9311421039,Retail & Stores,"WAL-MART STRS DL-,10",85.92,EUR
405,0,US47010C7065,Biotechnology,"JAGUAR HEALTH    DL-,0001",0.118,EUR
406,0,DE0006048432,Chemistry,HENKEL KGAA VZO O.N.,68.96,EUR
407,0,DE000KBX1006,Vehicles,KNORR-BREMSE AG  INH O.N.,87.2,EUR
408,0,DE0005552004,Transportation,DEUTSCHE POST AG NA O.N.,37.14,EUR
409,0,DE0005810055,Banking & Finance,DEUTSCHE BOERSE NA O.N.,289.7,EUR
410,0,DE0007165631,Biotechnology,SARTORIUS AG VZO O.N.,229.0,EUR
411,0,DE0007231334,Vehicles,SIXT SE VZO,59.6,EUR
412,0,DE0006969603,Retail & Stores,PUMA SE,22.88,EUR
413,0,NL0000235190,Aviation & Aeronautics,AIRBUS SE,158.08,EUR
414,0,DE000A3ENQ51,Pharmaceuticals & Cosmetics,SCHOTT PHARMA INH O.N.,25.35,EUR
415,0,US98422D1054,Vehicles,XPENG INC. SP.ADS/2 CL.A,17.4,EUR
416,0,IE00B1TXK627,Raw Materials,iShares II plc - iShares Global Water UCITS ETF USD (Dist),62.17,EUR
417,0,DE0007236101,Electronics,SIEMENS AG NA,214.3,EUR
418,0,IE00BK5BR626,Global,Vanguard Funds PLC - Vanguard FTSE All-World High Dividend Yield UCITS ETF (USD) Accumulating,69.48,EUR
419,0,IE00BMDKNW35,Banking & Finance,VanEck UCITS ETFs plc - VanEck Crypto and Blockchain Innovators UCITS ETF,7.153,EUR
420,0,IT0005534141,Government Bonds,ITALIEN 23/53,101.75,EUR
421,0,BMG0957L1090,Environment & Recycling,BEIJING ENTER.WTR GR.CONS,0.264,EUR
422,0,US29270J1007,Machinery,"ENERGY RECOVERY  DL -,001",9.99,EUR
423,0,IE00BYWZ0333,Computers & Network,iShares IV plc - iShares Automation & Robotics UCITS ETF USD (Dist),8.132,EUR
424,0,IE00BGL86Z12,Vehicles,iShares IV plc - iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc),6.457,EUR
425,0,US5951121038,Electronics,"MICRON TECHN. INC. DL-,10",76.31,EUR
426,0,XF000XLM0017,Smart Contracts,Stellar,0.2668457,EUR
427,0,XF000EOS0011,DAO,EOS,0.816769,EUR
428,0,XF000BCH0011,Payments,Bitcoin Cash,369.582,EUR
429,0,XF000LTC0015,Payments,Litecoin,90.3149,EUR
430,0,IE00B9CQXS71,Global,SSGA SPDR ETFs Europe I plc - SPDR S&P Global Dividend Aristocrats UCITS ETF USD,29.825,EUR
431,0,LU1681039480,Real Estate,Amundi Index Solutions - Amundi FTSE Epra Europe Real Estate UCITS ETF - EUR (C),324.8,EUR
443,0,IE00BX7RRJ27,USA,UBS (Irl) ETF plc - Factor MSCI USA Quality Screened UCITS ETF (USD) A-dis,44.7,EUR
444,0,IE00BL25JL35,Large/Mid Caps,Xtrackers (IE) Plc - Xtrackers MSCI World Quality UCITS ETF 1C,61.91,EUR
449,0,US0394831020,Alcohol & Tobacco,ARCHER-DANIELS,42.84,EUR
450,0,DE0005565204,Machinery,DUERR AG O.N.,21.45,EUR
451,0,DE0005493365,Banking & Finance,HYPOPORT SE  NA O.N.,206.5,EUR
452,0,IE00BG0J4C88,Internet & Software,iShares IV plc - iShares Digital Security UCITS ETF USD (Acc),8.131,EUR
453,0,US6974351057,Internet & Software,"PALO ALTO NETWKS DL-,0001",166.12,EUR
454,0,US6701002056,Pharmaceuticals & Cosmetics,NOVO-NORDISK B ADR/1DK 10,58.2,EUR
455,0,IE00B4X9L533,Global,HSBC MSCI WORLD UCITS ETF,33.08,EUR
456,0,IE00B1YZSC51,Large/Mid Caps,iShares II plc - iShares Core MSCI Europe UCITS ETF EUR (Dist),33.84,EUR
457,0,US6092071058,Food,MONDELEZ,58.75,EUR
