ISIN,Sector,Name,BuyTotal,SellTotal,BuyPct,SellPct
US4781601046,Pharmaceuticals & Cosmetics,JOHNSON + JOHNSON,15.0,80.03,0.0,0.0002
US49177J1025,Consumer Goods,"KENVUE INC.      DL -,001",116.19,109.72,0.0002,0.0003
US5801351017,Food,MCDONALDS CORP.,2843.56,505.87,0.0045,0.0012
US5949181045,Internet & Software,"MICROSOFT    DL-,00000625",8015.41,4180.61,0.0126,0.0099
US5949724083,Internet & Software,MICROSTRATEG.A NEW DL-001,9.03,49.76,0.0,0.0001
US5951121038,Electronics,"MICRON TECHN. INC. DL-,10",170.0,356.94,0.0003,0.0008
US64110L1061,Internet & Software,"NETFLIX INC.      DL-,001",2634.26,28.3,0.0041,0.0001
US6541061031,Trading Diverse,NIKE INC CL B,2424.17,8.81,0.0038,0.0
US6700024010,Biotechnology,"NOVAVAX INC.       DL-,01",7433.48,13730.07,0.0117,0.0324
US67066G1040,Electronics,"NVIDIA CORP.      DL-,001",63407.64,17411.65,0.0994,0.041
US6745991058,Oil & Gas,"OCCIDENTAL PET.    DL-,20",2136.74,1661.25,0.0034,0.0039
US68389X1054,Internet & Software,"ORACLE CORP.       DL-,01",498.51,520.84,0.0008,0.0012
US69608A1088,Internet & Software,PALANTIR TECHNOLOGIES INC,2593.96,2023.46,0.0041,0.0048
US70450Y1038,Banking & Finance,"PAYPAL HDGS INC.DL-,0001",1422.05,1952.26,0.0022,0.0046
US72919P2020,Energy & Water,"PLUG POWER INC. DL-,01",883.11,733.53,0.0014,0.0017
US7427181091,Consumer Goods,PROCTER GAMBLE,100.0,290.54,0.0002,0.0007
US79466L3024,Internet & Software,"SALESFORCE.COM    DL-,001",752.03,559.89,0.0012,0.0013
US86745K1043,Energy & Water,"SUNNOVA ENERGY INT.-,0001",148.39,145.7,0.0002,0.0003
US86800U1043,Computers & Network,"SUPER MICRO COMPUT.DL-,01",16730.1,15699.59,0.0262,0.037
US8740391003,Electronics,TAIWAN SEMICON.MANU.ADR/5,2488.48,380.63,0.0039,0.0009
US8740541094,Consumer Goods,TAKE-TWO INTERACT. SOFTW.,196.77,197.14,0.0003,0.0005
US88160R1014,Vehicles,"TESLA INC. DL -,001",6608.2,5222.84,0.0104,0.0123
US88339J1051,Services,"THE TRA.DESK A DL-,000001",921.74,2344.69,0.0014,0.0055
US88579Y1010,Consumer Goods,"3M CO. DL-,50",144.32,1008.25,0.0002,0.0024
US92686J1060,Biotechnology,"VIKING THERAPEUT.DL -,005",133.23,312.01,0.0002,0.0007
XF000ADA0018,DAO,Cardano,2380.96,3073.33,0.0037,0.0072
XF000BCH0011,Payments,Bitcoin Cash,15.51,1427.35,0.0,0.0034
XF000BTC0017,Payments,Bitcoin,52235.75,19178.25,0.0819,0.0452
XF000DOT0011,Web3,Polkadot,305.53,96.45,0.0005,0.0002
XF000ETH0019,DeFi,Ethereum,7304.77,10019.29,0.0115,0.0236
XF000LINK010,DeFi,Chainlink,1050.52,1225.53,0.0016,0.0029
XF000SOL0012,Payments,Solana,5006.47,9803.62,0.0079,0.0231
XF000XRP0018,Payments,XRP,505.26,1188.14,0.0008,0.0028
XS2002496409,Constructions & Material,BAYWA AG NTS 19/24,496.17,97.74,0.0008,0.0002
